template_id,template,first_seen,last_seen,count,labeled_anomaly_count
20,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL machine <*> <*>,2005-06-14 16:41:23,2005-06-14 17:44:58,7,0
21,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL program interrupt: <*> <*>,2005-06-14 16:43:01,2005-06-14 17:52:48,12,0
22,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL exception syndrome register: 0x00800000,2005-06-14 17:18:50,2005-06-14 17:23:31,5,0
23,- <*> <*> <*> <*> <*> RAS KERNEL <*> data store interrupt caused by <*>,2005-06-14 17:26:31,2005-06-26 17:38:11,10,0
24,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL store operation.............................1,2005-06-14 17:36:43,2005-06-14 17:37:05,2,0
25,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL <*> <*> register: 0x00002000,2005-06-14 17:37:26,2005-06-14 18:31:23,11,0
26,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL <*> state <*>,2005-06-14 17:42:34,2005-06-14 18:10:02,4,0
27,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL floating point instr. enabled.....1,2005-06-14 17:43:21,2005-06-14 18:12:52,4,0
28,- 1118771075 2005.06.14 R24-M0-NF-C:J09-U01 2005-06-14-10.44.35.353282 R24-M0-NF-C:J09-U01 RAS KERNEL FATAL auxiliary processor.........................0,2005-06-14 17:44:35,2005-06-14 17:44:35,1,0
29,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL floating pt ex mode <*> enable......0,2005-06-14 17:45:15,2005-06-14 18:23:44,5,0
30,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL debug <*> <*>,2005-06-14 17:48:22,2005-06-14 18:20:52,2,0
31,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL byte ordering exception.....................0,2005-06-14 17:49:44,2005-06-14 17:50:09,2,0
32,- 1118771679 2005.06.14 R21-M1-N5-C:J05-U11 2005-06-14-10.54.39.063056 R21-M1-N5-C:J05-U11 RAS KERNEL FATAL program interrupt: fp cr update.............0,2005-06-14 17:54:39,2005-06-14 17:54:39,1,0
33,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL guaranteed <*> cache block <*>,2005-06-14 17:57:03,2005-06-14 17:58:48,3,0
34,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL program interrupt: fp cr field .............0,2005-06-14 17:57:55,2005-06-14 17:58:54,4,0
35,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL icache prefetch <*>,2005-06-14 18:00:22,2005-06-14 18:02:02,3,0
36,- 1118772337 2005.06.14 R24-M0-N7-C:J06-U01 2005-06-14-11.05.37.845720 R24-M0-N7-C:J06-U01 RAS KERNEL FATAL critical input interrupt enable...0,2005-06-14 18:05:37,2005-06-14 18:05:37,1,0
37,- 1118772810 2005.06.14 R27-M0-N9-C:J12-U01 2005-06-14-11.13.30.870052 R27-M0-N9-C:J12-U01 RAS KERNEL FATAL special purpose registers:,2005-06-14 18:13:30,2005-06-14 18:13:30,1,0
38,- 1118772877 2005.06.14 R27-M1-N3-C:J04-U11 2005-06-14-11.14.37.821210 R27-M1-N3-C:J04-U11 RAS KERNEL FATAL lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,2005-06-14 18:14:37,2005-06-14 18:14:37,1,0
39,- 1118772927 2005.06.14 R27-M0-N6-C:J02-U11 2005-06-14-11.15.27.823191 R27-M0-N6-C:J02-U11 RAS KERNEL FATAL rts internal error,2005-06-14 18:15:27,2005-06-14 18:15:27,1,0
40,- 1118773618 2005.06.14 R25-M1-N7-C:J09-U11 2005-06-14-11.26.58.490506 R25-M1-N7-C:J09-U11 RAS KERNEL FATAL instruction address space.........0,2005-06-14 18:26:58,2005-06-14 18:26:58,1,0
41,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL disable store gathering..................0,2005-06-14 18:32:21,2005-06-14 18:34:02,3,0
42,- <*> <*> <*> <*> <*> RAS KERNEL INFO total of <*> ddr error(s) detected and corrected,2005-06-14 21:27:33,2005-10-21 12:19:37,13,0
43,- <*> 2005.06.15 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-06-15 13:57:15,2005-06-15 16:31:16,4,0
44,- <*> 2005.06.16 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-06-16 08:49:22,2005-06-16 10:01:16,10,0
45,- 1119055358 2005.06.17 R12-M1-NB-C:J15-U01 2005-06-17-17.42.38.875141 R12-M1-NB-C:J15-U01 RAS KERNEL INFO generating core.1488,2005-06-18 00:42:38,2005-06-18 00:42:38,1,0
46,- 1119151510 2005.06.18 R36-M0-NF-C:J13-U01 2005-06-18-20.25.10.503085 R36-M0-NF-C:J13-U01 RAS KERNEL INFO generating core.2186,2005-06-19 03:25:10,2005-06-19 03:25:10,1,0
47,- <*> 2005.06.19 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-06-19 07:34:14,2005-06-19 07:34:54,3,0
48,- <*> 2005.06.20 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-06-20 18:09:26,2005-06-20 18:14:53,8,0
49,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, No such file or directory",2005-06-20 23:23:53,2005-12-09 20:49:48,21,0
50,APPCHILD 1119319455 2005.06.20 R12-M1-NC-I:J18-U11 2005-06-20-19.04.15.002425 R12-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,2005-06-21 02:04:15,2005-06-21 02:04:15,1,1
51,- <*> 2005.06.21 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-06-21 18:14:38,2005-06-21 18:16:24,5,0
52,- <*> 2005.06.25 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-06-25 15:55:15,2005-06-25 19:10:34,38,0
53,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-06-26 16:19:15,2005-06-26 17:28:24,3,0
54,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO program interrupt,2005-06-26 16:19:41,2005-06-26 17:29:15,3,0
55,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO program interrupt: <*> <*>,2005-06-26 16:24:44,2005-06-26 17:33:38,8,0
56,- <*> 2005.06.26 <*> <*> <*> RAS KERNEL INFO auxiliary processor.........................0,2005-06-26 16:33:19,2005-06-26 17:39:48,4,0
57,- 1119806971 2005.06.26 R05-M1-N8-C:J15-U11 2005-06-26-10.29.31.819506 R05-M1-N8-C:J15-U11 RAS KERNEL INFO instruction address: 0x0062fe04,2005-06-26 17:29:31,2005-06-26 17:29:31,1,0
58,- 1119807051 2005.06.26 R05-M0-N6-C:J06-U11 2005-06-26-10.30.51.645473 R05-M0-N6-C:J06-U11 RAS KERNEL INFO exception syndrome register: 0x08000000,2005-06-26 17:30:51,2005-06-26 17:30:51,1,0
59,- <*> <*> <*> <*> <*> NULL DISCOVERY WARNING Node card is not fully functional,2005-06-28 16:53:39,2005-12-06 18:05:04,6,0
60,- <*> 2005.06.29 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-06-30 00:30:27,2005-06-30 00:43:35,9,0
61,- <*> 2005.06.30 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-06-30 15:24:51,2005-06-30 17:00:59,24,0
62,- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error creating node map from file <*> <*> <*> <*>,2005-06-30 23:24:43,2005-07-09 11:51:46,2,0
63,- <*> 2005.07.01 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-01 09:23:28,2005-07-01 11:26:24,22,0
64,- <*> <*> UNKNOWN_LOCATION <*> UNKNOWN_LOCATION NULL DISCOVERY INFO Ido chip status changed: <*> <*> <*> <*> status=M <*> <*> <*> <*> PDT 2005,2005-07-01 15:25:20,2005-09-17 14:57:06,5,0
65,- <*> <*> <*> <*> <*> NULL DISCOVERY SEVERE Can not get assembly information for node card,2005-07-01 18:05:31,2005-08-09 17:47:52,6,0
66,- <*> 2005.07.02 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-03 00:47:02,2005-07-03 00:48:39,5,0
67,- <*> 2005.07.03 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-04 03:16:12,2005-07-04 04:08:22,17,0
68,- <*> 2005.07.04 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-04 09:31:15,2005-07-04 14:36:36,16,0
69,- <*> <*> <*> <*> <*> RAS KERNEL INFO ciod: Missing or invalid fields on line 1 of node map file <*>,2005-07-05 19:22:11,2005-08-15 18:51:36,2,0
70,- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected,2005-07-06 13:59:42,2005-11-10 05:46:07,4,0
71,- <*> 2005.07.07 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-07 14:35:17,2005-07-08 02:09:50,18,0
72,- 1120908821 2005.07.09 R20-M0-N8-I:J18-U01 2005-07-09-04.33.41.091472 R20-M0-N8-I:J18-U01 RAS KERNEL INFO ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,2005-07-09 11:33:41,2005-07-09 11:33:41,1,0
73,- <*> 2005.07.09 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-09 13:54:39,2005-07-10 06:10:21,180,0
74,- <*> 2005.07.10 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-10 14:41:53,2005-07-10 14:50:46,14,0
75,KERNRTSP <*> 2005.07.11 <*> <*> <*> RAS KERNEL FATAL rts panic! - stopping execution,2005-07-11 21:03:37,2005-07-11 21:03:39,2,2
76,- <*> 2005.07.12 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-12 12:41:28,2005-07-12 12:56:28,13,0
77,- <*> 2005.07.13 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-13 12:02:59,2005-07-14 04:10:48,87,0
78,- 1121383222 2005.07.14 R01-M0-N0-I:J18-U11 2005-07-14-16.20.22.672549 R01-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,2005-07-14 23:20:22,2005-07-14 23:20:22,1,0
79,- 1121408299 2005.07.14 R23-M0-N0-I:J18-U01 2005-07-14-23.18.19.684786 R23-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,2005-07-15 06:18:19,2005-07-15 06:18:19,1,0
80,- <*> 2005.07.15 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-15 15:41:01,2005-07-16 06:49:42,39,0
81,- <*> 2005.07.17 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-17 10:57:12,2005-07-17 11:28:40,32,0
82,- <*> 2005.07.18 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-18 17:16:33,2005-07-19 01:20:53,11,0
83,"KERNTERM 1121727206 2005.07.18 R20-M1-N8-C:J12-U01 2005-07-18-15.53.26.229596 R20-M1-N8-C:J12-U01 RAS KERNEL FATAL rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015",2005-07-18 22:53:26,2005-07-18 22:53:26,1,1
84,- 1121727746 2005.07.18 R00-M1-N5-C:J03-U11 2005-07-18-16.02.26.154455 R00-M1-N5-C:J03-U11 RAS KERNEL FATAL debug wait enable.................0,2005-07-18 23:02:26,2005-07-18 23:02:26,1,0
85,- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> floating point alignment exceptions,2005-07-20 23:01:09,2005-11-11 07:12:32,121,0
86,- <*> 2005.07.23 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-23 15:31:28,2005-07-24 00:48:16,33,0
87,- <*> 2005.07.24 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-25 01:45:10,2005-07-25 02:01:42,10,0
88,- <*> 2005.07.25 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-25 23:30:40,2005-07-25 23:31:23,4,0
89,- <*> 2005.07.26 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-26 18:02:51,2005-07-27 02:35:32,29,0
90,- <*> 2005.07.27 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-27 19:25:00,2005-07-27 19:25:07,2,0
91,- <*> 2005.07.28 <*> <*> <*> RAS KERNEL INFO generating <*>,2005-07-28 18:08:33,2005-07-28 18:08:35,2,0
92,- <*> 2005.08.02 UNKNOWN_LOCATION <*> UNKNOWN_LOCATION NULL DISCOVERY INFO New ido chip inserted into the database: <*> <*> <*> <*>,2005-08-02 22:27:18,2005-08-03 04:28:33,3,0
93,- 1123025954 2005.08.02 R23-M0-N7 2005-08-02-16.39.14.159918 R23-M0-N7 NULL HARDWARE SEVERE NodeCard is not fully functional,2005-08-02 23:39:14,2005-08-02 23:39:14,1,0
94,"- 1123030687 2005.08.02 R00-M0-N2 2005-08-02-17.58.07.084868 R00-M0-N2 NULL DISCOVERY ERROR Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",2005-08-03 00:58:07,2005-08-03 00:58:07,1,0
95,- <*> <*> <*> <*> <*> NULL DISCOVERY INFO Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*> found <*>,2005-08-03 00:58:13,2005-11-30 00:21:56,9,0
96,"- <*> <*> NULL <*> NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",2005-08-03 23:11:02,2005-09-20 20:41:10,35,0
97,- <*> <*> <*> <*> <*> NULL DISCOVERY ERROR Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,2005-08-04 17:27:46,2005-09-17 17:48:35,5,0
98,"- 1123262593 2005.08.05 R25-M1-N2 2005-08-05-10.23.13.029850 R25-M1-N2 NULL HARDWARE WARNING PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(203231503833343000000000594c31304b34333431303158), mLp(FF:F2:9F:16:CF:0F:00:0D:60:E9:30:F0), mIp(10.2.2.80), mType(4)) as part of Service Action 310",2005-08-05 17:23:13,2005-08-05 17:23:13,1,0
99,- 1123614572 2005.08.09 R00-M0-N6-C:J03-U11 2005-08-09-12.09.32.252222 R00-M0-N6-C:J03-U11 RAS KERNEL FATAL rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,2005-08-09 19:09:32,2005-08-09 19:09:32,1,0
100,- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,2005-08-10 05:38:06,2005-10-28 06:01:50,3,0
101,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, Exec format error",2005-08-13 06:25:12,2005-10-20 15:03:31,17,0
102,APPSEV <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,2005-08-15 02:02:39,2005-10-16 22:24:36,9,9
103,KERNTERM <*> <*> <*> <*> <*> RAS KERNEL FATAL rts: kernel terminated for reason <*>,2005-08-16 04:45:19,2005-11-16 03:19:28,6,6
104,- <*> <*> <*> <*> <*> RAS KERNEL INFO ciod: generated <*> core files for program <*>,2005-08-18 19:42:59,2006-01-03 15:13:09,30,0
105,- <*> 2005.08.26 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,2005-08-26 18:47:33,2005-08-26 19:31:35,36,0
106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,2005-08-28 09:13:32,2005-08-28 10:20:52,19,0
107,"- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO NFS Mount failed on <*> slept 15 seconds, retrying (1)",2005-08-28 10:35:58,2005-08-28 10:36:01,2,0
108,KERNMNTF <*> <*> <*> <*> <*> RAS KERNEL FATAL Lustre mount FAILED : <*> : point /p/gb1,2005-09-01 05:29:53,2005-09-13 16:02:05,9,9
109,- <*> <*> <*> <*> <*> RAS KERNEL INFO ciod: pollControlDescriptors: Detected the debugger died.,2005-09-08 20:38:11,2005-12-20 03:51:38,3,0
110,"- 1126211906 2005.09.08 R62-M1-NC-I:J18-U11 2005-09-08-13.38.26.477794 R62-M1-NC-I:J18-U11 RAS KERNEL INFO ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)",2005-09-08 20:38:26,2005-09-08 20:38:26,1,0
111,- <*> <*> <*> <*> <*> RAS KERNEL INFO suppressing further interrupts of same type,2005-09-12 12:03:49,2005-10-14 06:30:39,2,0
112,- 1127264516 2005.09.20 R05-M0-N1-C:J06-U11 2005-09-20-18.01.56.398119 R05-M0-N1-C:J06-U11 RAS KERNEL FATAL rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 81aa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007,2005-09-21 01:01:56,2005-09-21 01:01:56,1,0
113,- <*> <*> <*> <*> <*> RAS KERNEL INFO critical input interrupt (unit=0x0b <*> warning for torus <*> wire,2005-09-29 21:02:35,2005-10-25 15:55:40,2,0
114,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, Permission denied",2005-10-01 12:38:37,2005-12-14 22:33:21,19,0
115,- <*> 2005.10.17 R02-M0-N4-C:J04-U11 <*> R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct,2005-10-17 12:02:27,2005-10-17 12:35:12,6,0
116,- 1129734520 2005.10.19 R17-M0-N0-I:J18-U01 2005-10-19-08.08.40.058960 R17-M0-N0-I:J18-U01 RAS KERNEL INFO shutdown complete,2005-10-19 15:08:40,2005-10-19 15:08:40,1,0
117,"KERNREC <*> <*> <*> <*> <*> RAS KERNEL FATAL Error receiving packet on tree network, expecting type 57 instead of type 3 <*> <*> 00000002 00000000) <*> PSR1=00000000 PRXF=00000002 PIXF=00000007",2005-10-28 20:00:11,2005-11-16 03:21:18,5,5
118,- <*> 2005.11.03 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,2005-11-03 22:43:50,2005-11-03 23:50:38,59,0
119,- <*> 2005.11.04 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,2005-11-04 16:58:46,2005-11-04 23:54:56,61,0
120,- <*> 2005.11.07 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,2005-11-08 00:13:02,2005-11-08 00:13:50,2,0
121,- <*> 2005.11.08 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,2005-11-08 18:09:13,2005-11-08 19:27:41,18,0
122,- 1131525612 2005.11.09 R62-M0-N4-C:J13-U01 2005-11-09-00.40.12.350846 R62-M0-N4-C:J13-U01 RAS KERNEL FATAL program interrupt: privileged instruction...0,2005-11-09 08:40:12,2005-11-09 08:40:12,1,0
123,- <*> 2005.11.09 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,2005-11-09 23:39:23,2005-11-10 02:48:01,10,0
124,- 1131624435 2005.11.10 R22-M1-N1-C:J17-U11 2005-11-10-04.07.15.804295 R22-M1-N1-C:J17-U11 RAS KERNEL INFO 3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,2005-11-10 12:07:15,2005-11-10 12:07:15,1,0
125,- <*> 2005.11.10 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,2005-11-11 07:03:41,2005-11-11 07:04:09,3,0
126,"- <*> <*> <*> <*> <*> RAS KERNEL INFO critical input interrupt (unit=0x0b <*> warning for <*> <*> wire, suppressing further interrupts of same type",2005-11-15 13:41:23,2005-12-14 23:03:14,3,0
127,- <*> 2005.11.17 <*> <*> <*> RAS KERNEL INFO <*> torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over <*> seconds,2005-11-17 13:35:26,2005-11-17 14:16:12,2,0
128,"- <*> <*> <*> <*> <*> RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, <*>",2005-11-18 13:35:35,2005-11-30 02:29:38,16,0
129,KERNMNTF <*> <*> <*> <*> <*> RAS KERNEL FATAL Lustre mount FAILED : <*> : block_id : location,2005-11-21 12:23:18,2005-12-04 20:05:37,2,2
130,- <*> 2005.11.21 R26-M0-N0-I:J18-U11 <*> R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),2005-11-21 14:41:29,2005-11-21 15:20:51,7,0
131,APPTO <*> 2005.11.21 <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix on CioStream socket to <*> Connection timed out,2005-11-21 19:08:04,2005-11-21 22:47:03,2,2
132,APPRES <*> 2005.11.21 <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix on CioStream socket to <*> Connection reset by peer,2005-11-21 21:40:58,2005-11-21 22:56:09,4,4
133,- 1132841276 2005.11.24 R03-M1-NF-C:J07-U01 2005-11-24-06.07.56.407913 R03-M1-NF-C:J07-U01 RAS KERNEL FATAL dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000,2005-11-24 14:07:56,2005-11-24 14:07:56,1,0
134,APPSEV <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error reading message prefix on CioStream socket to <*> Link has been severed,2005-11-24 17:38:05,2005-12-15 07:16:59,8,8
135,- 1133051996 2005.11.26 R03-M1-NF-C:J07-U01 2005-11-26-16.39.56.330868 R03-M1-NF-C:J07-U01 RAS KERNEL FATAL r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,2005-11-27 00:39:56,2005-11-27 00:39:56,1,0
136,- <*> <*> R55-M0-N9-C:J06-U11 <*> R55-M0-N9-C:J06-U11 RAS KERNEL INFO <*> tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over <*> seconds,2005-11-29 16:12:54,2005-12-03 21:49:47,2,0
137,- <*> 2005.12.01 <*> <*> <*> RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,2005-12-01 14:34:54,2005-12-01 16:47:40,51,0
138,"- <*> 2005.12.01 <*> <*> <*> RAS KERNEL INFO <*> total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",2005-12-01 14:35:28,2005-12-01 17:32:43,71,0
139,"- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> ddr error(s) detected and corrected on rank 0, symbol <*> over <*> seconds",2005-12-03 15:59:52,2005-12-15 05:56:23,7,0
140,"- 1133630999 2005.12.03 R10-M1-N2 2005-12-03-09.29.59.645290 R10-M1-N2 NULL HARDWARE WARNING PrepareForService shutting down Node card(mLctn(R10-M1-N2), mCardSernum(203231503833343000000000594c31304b34323934303257), mLp(FF:F2:9F:16:E0:DA:00:0D:60:E9:1F:25), mIp(10.1.1.164), mType(4)) as part of Service Action 648",2005-12-03 17:29:59,2005-12-03 17:29:59,1,0
